List Price,MLS® #,Status,Type,Subtype,Bedrooms,Bathrooms,Lot Size,Subdivision,Ownership,Heating Fuel,Garage,Parking Spaces,Construction Materials,Fencing,Fireplaces,Levels,Pool,Cooling,Country,Flooring,Sewer,Frontage Length,Community Features,Heating,Lot Features,Stories,Attached Garage,View,Architectural Style,Waterfront
"$1,488,000",1148683,ACTIVE,Single Family Residential,Single Family,4,4,NULL,Rockcliffe Park,Freehold,Natural gas,Yes,5,NULL,Fenced yard,2,2,NULL,Central air conditioning,Canada,"Hardwood, Marble, Tile",Municipal sewage system,112 ft,NULL,Forced air,Landscaped,2,Yes,NULL,NULL,NULL
"$1,479,000",1163292,ACTIVE,Single Family Residential,Single Family,3,3,NULL,Glebe,Freehold,Natural gas,NULL,2,NULL,NULL,NULL,3,NULL,Central air conditioning,Canada,"Hardwood, Laminate, Ceramic",Municipal sewage system,"30 ft ,5 in",NULL,Forced air,NULL,3,NULL,NULL,NULL,NULL
"$1,475,000",1130387,ACTIVE,Single Family Residential,Single Family,6,5,"130,680",Cumberland,Freehold,"Natural gas,",Yes,10,Poured concrete,NULL,2,2,Yes,Central air conditioning,Canada,"Mixed Flooring, Hardwood, Tile",Septic System,"328 ft ,1 in",NULL,"Forced air, Radiant heat",Landscaped,2,Yes,NULL,NULL,NULL
"$1,474,800",1136091,ACTIVE,Condo,Single Family,2,3,NULL,Centretown,Condominium/Strata,Natural gas,Yes,1,NULL,NULL,NULL,1,NULL,Central air conditioning,Canada,"Hardwood, Tile",Municipal sewage system,NULL,Recreational Facilities,Forced air,NULL,1,Yes,NULL,NULL,NULL
"$1,400,000",1158817,ACTIVE,Single Family Residential,Single Family,3,3,NULL,Navan,Freehold,Natural gas,Yes,20,NULL,Fenced yard,NULL,1,NULL,Central air conditioning,Canada,"Hardwood, Ceramic",Septic System,NULL,Family Oriented,Forced air,Landscaped,1,Yes,NULL,Bungalow,NULL
"$1,400,000",1152565,ACTIVE,Single Family Residential,Single Family,5,3,NULL,Sandy Hill,Freehold,Natural gas,Yes,3,NULL,NULL,1,2,NULL,Central air conditioning,Canada,"Wall-to-wall carpet, Mixed Flooring, Hardwood, Tile",Municipal sewage system,60 ft,NULL,Forced air,Landscaped,2,Yes,River view,NULL,NULL
"$1,399,980",1161496,ACTIVE,Single Family Residential,Single Family,3,2,NULL,Heron Park,Freehold,Natural gas,NULL,3,NULL,NULL,NULL,3,NULL,Central air conditioning,Canada,"Laminate, Tile",Municipal sewage system,50 ft,NULL,Forced air,NULL,3,NULL,NULL,NULL,NULL
"$1,399,000",1146588,ACTIVE,Single Family Residential,Single Family,6,6,NULL,Glabar Park,Freehold,Natural gas,Yes,6,NULL,NULL,3,2,NULL,Central air conditioning,Canada,"Wall-to-wall carpet, Hardwood, Ceramic",Municipal sewage system,"51 ft ,11 in",NULL,Forced air,NULL,2,Yes,NULL,NULL,NULL
"$1,399,000",1143754,ACTIVE,Single Family Residential,Single Family,4,4,"92,782",Rideau Forest,Freehold,Natural gas,Yes,15,NULL,Fenced yard,1,2,Yes,Central air conditioning,Canada,"Wall-to-wall carpet, Hardwood, Tile",Septic System,"284 ft ,3 in",NULL,Forced air,Underground sprinkler,2,Yes,NULL,NULL,NULL
"$1,398,000",1151412,ACTIVE,Single Family Residential,Single Family,4,3,NULL,Rockcliffe Park,Freehold,Natural gas,Yes,6,NULL,Fenced yard,3,2,Yes,Central air conditioning,Canada,"Hardwood, Tile, Ceramic",Municipal sewage system,135 ft,Family Oriented,Hot water radiator heat,Landscaped,2,Yes,NULL,NULL,NULL
"$1,397,000",1157954,ACTIVE,Single Family Residential,Single Family,4,3,NULL,Rockcliffe Park,Freehold,Natural gas,Yes,6,NULL,Fenced yard,3,1,NULL,Central air conditioning,Canada,"Hardwood, Tile",Municipal sewage system,104 ft,Family Oriented,Forced air,Landscaped,1,Yes,NULL,Bungalow,NULL
"$1,395,000",1157705,ACTIVE,Single Family Residential,Single Family,5,4,"33,976",Rothwell Heights,Freehold,"Natural gas,",Yes,8,NULL,NULL,3,2,NULL,Wall unit,Canada,"Wall-to-wall carpet, Hardwood, Other",Municipal sewage system,"226 ft ,6 in",Family Oriented,"Hot water radiator heat, Other","Land / Yard lined with hedges, Landscaped",2,Yes,NULL,NULL,NULL
"$1,395,000",1154700,ACTIVE,Single Family Residential,Single Family,3,3,NULL,Lower Town/Sussex Dr.,Cooperative,Natural gas,Yes,2,NULL,NULL,1,1,NULL,Central air conditioning,Canada,"Wall-to-wall carpet, Hardwood, Tile",Municipal sewage system,NULL,NULL,Hot water radiator heat,NULL,1,Yes,NULL,NULL,NULL
"$1,390,000",1157739,ACTIVE,Single Family Residential,Single Family,4,4,NULL,Qualicum Park,Freehold,"Natural gas, Electric",Yes,6,Poured concrete,NULL,1,1,NULL,Central air conditioning,Canada,"Hardwood, Tile",Municipal sewage system,"70 ft ,1 in",NULL,"Baseboard heaters, Forced air",NULL,1,Yes,NULL,Bungalow,NULL
"$1,389,000",1154819,ACTIVE,Single Family Residential,Single Family,5,5,NULL,Greely,Freehold,Natural gas,Yes,18,NULL,NULL,4,2,NULL,Central air conditioning,Canada,"Hardwood, Marble, Tile",Septic System,"244 ft ,5 in",NULL,Forced air,"Land / Yard lined with hedges, Landscaped",2,Yes,NULL,NULL,Yes
"$1,388,000",1164106,ACTIVE,Single Family Residential,Single Family,4,3,"54,885",Rothwell Heights,Freehold,Natural gas,Yes,8,NULL,NULL,1,2,NULL,Central air conditioning,Canada,"Carpet over Hardwood, Wall-to-wall carpet, Mixed Flooring, Ceramic",Municipal sewage system,294 ft,Family Oriented,Forced air,Landscaped,2,Yes,NULL,NULL,NULL
